1,95327314794  0,0845710656444
1,93530826113  0,155532368552
2,97944925827  0,231175429842
3,94029850746  0,235820895522
5,96162046908  0,251599147122
7,99219706936  0,230821576011
9,97214535227  0,210025858549
10,9858004809  0,206088100531
12,0032663431  0,187097944926
12,9733702309  0,155187587896
