  0 Order_Parameter_1 -0.233893 -0.174331 -0.201449 -0.201342 -0.212454 -0.202237 -0.200508 -0.185539 -0.178494 -0.160285 -0.148247 -0.128296 -0.110202 -0.0830908
 20 Order_Parameter_1 -0.266762 -0.233581 -0.266197 -0.274220 -0.287046 -0.283266 -0.283031 -0.268921 -0.260681 -0.239810 -0.223819 -0.194732 -0.167049 -0.1218020
 30 Order_Parameter_1 -0.279810 -0.261761 -0.298051 -0.311022 -0.326263 -0.325233 -0.325639 -0.312115 -0.301918 -0.279153 -0.259499 -0.228584 -0.195618 -0.1446610
 40 Order_Parameter_1 -0.287432 -0.286997 -0.326228 -0.344946 -0.360806 -0.362522 -0.361818 -0.349943 -0.338352 -0.317045 -0.295937 -0.262730 -0.226209 -0.1700900
 50 Order_Parameter_1 -0.293539 -0.303585 -0.347646 -0.370769 -0.387192 -0.390076 -0.387374 -0.375118 -0.359901 -0.335382 -0.311363 -0.276437 -0.236453 -0.1757160
