  0 -0.218976 -0.176536 -0.209227 -0.189348 -0.199365 -0.181539 -0.178106 -0.157900 -0.149764 -0.131237 -0.119892 -0.101884 -0.0882366 -0.0630794
 10 -0.231649 -0.194788 -0.230711 -0.215709 -0.227427 -0.212989 -0.209974 -0.191433 -0.180923 -0.161537 -0.147677 -0.125694 -0.1070630 -0.0772101
 20 -0.245739 -0.216403 -0.253269 -0.244904 -0.259060 -0.248183 -0.246535 -0.230791 -0.220811 -0.197218 -0.181472 -0.154064 -0.1308490 -0.0919435
 30 -0.265666 -0.244468 -0.287845 -0.288218 -0.303754 -0.297850 -0.296096 -0.279695 -0.269494 -0.245750 -0.225570 -0.192721 -0.1625600 -0.1131920
