 CholFraction ForceField temperature path DOI:
0 0.1111111111111111 CHARMM36 298.15 ../DATA/ForPlotting/c17/59d/c1759dd2351b303be2f9acde5b8e9dcd7eaf22b1/9e4948f45157c1c4efd364b200f56b244d29e012/ 10.5281/zenodo.5767451
1 0.2 CHARMM36 298.15 ../DATA/ForPlotting/c49/f73/c49f7373e5f014e7249177961c883f238e0ff95e/76053cce890ea85324bb74b299f63432f91f531b/ 10.5281/zenodo.5767451
2 0.2 CHARMM36 298.15 ../DATA/ForPlotting/c70/966/c70966a89d7579487035167bda3096a9ec0ba25f/a792ffbee10c8683ef44830a943d35139d1add6d/ 10.5281/zenodo.5767451
3 0.38461538461538464 CHARMM36 298.15 ../DATA/ForPlotting/3c4/732/3c473214491fd52562860b55efb5ef4f1f97bf16/e4dcad684cadd45b6c398eabbe39329dbb6b12bb/ 10.5281/zenodo.5767451
4 0.2 CHARMM36 298.15 ../DATA/ForPlotting/618/168/6181681b59d71d00209c1e86fbb17a78ec0888dc/4864b319f81a2778a8068d475ad2dbf9687c2d27/ 10.5281/zenodo.5767451
5 0.28888888888888886 CHARMM36 298.15 ../DATA/ForPlotting/dc7/f14/dc7f14a4f247140f07204a8e14f5a2a5ff8f58ca/df63fa3bbb96e0f5fb742ac67341e02a3960e555/ 10.5281/zenodo.5767451
6 0.0 CHARMM36 300.0 ../DATA/ForPlotting/ddb/cf1/ddbcf15f3eb1a20b40db561c09e0947e8fbb0569/e20b9624c784350d8ed0942f4e9422f754583ab7/ 10.5281/zenodo.6336691
7 0.4666666666666667 CHARMM36 298.15 ../DATA/ForPlotting/1f7/166/1f7166e33d5c171678fb15f378425a760bbb612d/da1488d8469d58f547603ed75e699e798458aa83/ 10.5281/zenodo.5767451
8 0.0 CHARMM36 298.15 ../DATA/ForPlotting/229/866/2298665351fa0bcf1b3399e4df47eb8832b77eab/85cfc2d0ff1f805b6d989f3f68977b0290fa7399/ 10.5281/zenodo.7103807
9 0.0 CHARMM36 298.15 ../DATA/ForPlotting/229/866/2298665351fa0bcf1b3399e4df47eb8832b77eab/e74101bfc21ebb8c489d18e1e0b729e2c034fea5/ 10.5281/zenodo.5767451
10 0.28888888888888886 CHARMM36 298.15 ../DATA/ForPlotting/94c/502/94c50221771bf554ddf1ed9d68043f164258cae2/d1149b77cf5532ceb124f393a96b9c766888265c/ 10.5281/zenodo.5767451
11 0.1111111111111111 CHARMM36 298.15 ../DATA/ForPlotting/954/9cc/9549cc0d99530a33f0198dc6478b25fd33e67353/2f29dd26de3bf65ccb9a8785141dd44e5eb7c660/ 10.5281/zenodo.5767451
12 0.0 CHARMM36 300.0 ../DATA/ForPlotting/a63/ca7/a63ca7001cbd5cfc328da122668d1aebc00f2c91/220540156a6ac7813942fd01d998a491b6ff9b8b/ 10.5281/zenodo.1306800
13 0.0 CHARMM36 298.15 ../DATA/ForPlotting/289/db0/289db0867ffc0e8e7a58ffc7c617f69eb7c60e82/1e1325dc1168c632b9978eaab70e8df6e34afbf3/ 10.5281/zenodo.7103807
14 0.38461538461538464 CHARMM36 298.15 ../DATA/ForPlotting/12e/fee/12efeef315c1170e422ed54450183e1b66b85485/3e707ddef01e5b1056299393f72cb65e3436fc15/ 10.5281/zenodo.5767451
15 0.1111111111111111 CHARMM36 298.15 ../DATA/ForPlotting/184/43f/18443f90b28f87979d175f3da976d22153bfa22d/2e1eb3e3eca27e99b3de593698a31676c467e38d/ 10.5281/zenodo.5767451
16 0.4666666666666667 CHARMM36 298.15 ../DATA/ForPlotting/8b0/60c/8b060ca3d6f6518f9ddddfabf34ce5bed4ddd81c/f8c45a12987ef6c1ad4dfe1d4b5ea865b8afe0b0/ 10.5281/zenodo.5767451
17 0.0 CHARMM36 298.15 ../DATA/ForPlotting/fbe/d55/fbed55ebb58b32963a3e1c4a94aee9c12304ce9e/af523346e81b780e2e01b1253219c1f03d5dd731/ 10.5281/zenodo.7103807
18 0.4666666666666667 CHARMM36 298.15 ../DATA/ForPlotting/fd8/18f/fd818f1fa1b32dcd80ac3a124e76bd2d73705abe/fd9cef87eca7bfbaac8581358f2d8f13d8d43cd1/ 10.5281/zenodo.5767451
19 0.28888888888888886 CHARMM36 298.15 ../DATA/ForPlotting/59c/6b6/59c6b619af46db405ffdfd3fde0e1c6bd1f2cd1a/26c1e800add3822cc2e9d6a720a4725939544dde/ 10.5281/zenodo.5767451
20 0.38461538461538464 CHARMM36 298.15 ../DATA/ForPlotting/e95/22c/e9522c15b02896745581a44703fd2211e0680422/acee48b47743b28e0dfd31437aca72f364c2edd7/ 10.5281/zenodo.5767451
