 CholFraction ForceField temperature path DOI: Npopc Author
0 0.28888888888888886 Slipids 298.15 ../DATA/ForPlotting/7f6/051/7f60515152693b6ca40d762b89019635b93f3ece/55e587074b9ccd85713f574f4c0aa85f4c78dd09/ 10.5281/zenodo.7022749 256 "Matti Javanainen"
1 0.38461538461538464 Slipids 298.15 ../DATA/ForPlotting/856/6fe/8566fe9ecc32415f1f3fe1b3ce8b4ef4f9b19a67/e022e9e0356a441dfd862555f70f576fdf640c8b/ 10.5281/zenodo.7022749 64 "Matti Javanainen"
2 0.0 Slipids 298.15 ../DATA/ForPlotting/3ae/2ad/3ae2ad254c7748843eebd62365d21cdc7712b519/0a3d4c6d2fceb62705ed272b2f4aa607477b4337/ 10.5281/zenodo.7022749 64 "Matti Javanainen"
3 0.38461538461538464 Slipids 298.15 ../DATA/ForPlotting/6d5/0e1/6d50e1333843d35d30bc8201a934539cae595d72/e5f6be84c833130b90c70d7fc612d0f85fcd8243/ 10.5281/zenodo.7022749 256 "Matti Javanainen"
4 0.38461538461538464 Slipids 298.15 ../DATA/ForPlotting/dae/6ba/dae6bab0cffae15f50bb7f464260f27aeba72062/01781911d39fc463302c15129a24334c57676936/ 10.5281/zenodo.7022749 1024 "Matti Javanainen"
5 0.1111111111111111 Slipids 298.15 ../DATA/ForPlotting/ddb/994/ddb9947ea9ad6231f77e936da109f41d523be508/2a56a18a2fc8faaf0c1150c597c2288b7b0c989f/ 10.5281/zenodo.7022749 64 "Matti Javanainen"
6 0.1111111111111111 Slipids 298.15 ../DATA/ForPlotting/92e/b2d/92eb2d09d236241f97d6102bf3c32868d2fd9cdf/47cd801878d9871123ce54de5f03cd0dc0c4d17f/ 10.5281/zenodo.7022749 256 "Matti Javanainen"
7 0.30078125 Slipids 298.0 ../DATA/ForPlotting/93f/385/93f3857977ebbdf869cd4457fbfad82f48e8f304/797a337035d641067dadb714f6fc7cc40a2bcccc/ 10.5281/zenodo.62026 358 "Favela-Rosales, Fernando"
8 0.4666666666666667 Slipids 298.15 ../DATA/ForPlotting/9f8/6db/9f86db3af0f6d4f1bf7a96bb0d47f13d2ba24fe4/e64562e0bc9611297bfabf7aef34df897d72e5c9/ 10.5281/zenodo.7022749 1024 "Matti Javanainen"
9 0.2 Slipids 298.15 ../DATA/ForPlotting/f22/76d/f2276d44a27ada33b2326df41b2efb2c11eb8858/0b38528bf0ba9219523d4b17babddb3f28129873/ 10.5281/zenodo.7022749 256 "Matti Javanainen"
10 0.2 Slipids 298.15 ../DATA/ForPlotting/492/100/492100cdfee39e4b427f1f4563c635839b40c2a4/b14f6e506122f9754896c3edb69f0fa9075272fb/ 10.5281/zenodo.7022749 1024 "Matti Javanainen"
11 0.2 Slipids 298.15 ../DATA/ForPlotting/4b3/86c/4b386cc498c5e540aa44e2123fa4720afc544428/a0c82b1035ff5fdbf8d443b90404ddeb3365d924/ 10.5281/zenodo.7022749 64 "Matti Javanainen"
12 0.28888888888888886 Slipids 298.15 ../DATA/ForPlotting/4f5/3a3/4f53a3e004f69af7030f372370c297664cce57c7/0f2ebb5148b446bdc11b954537c11d95ab1c9788/ 10.5281/zenodo.7022749 64 "Matti Javanainen"
13 0.0 Slipids 298.15 ../DATA/ForPlotting/a7f/b85/a7fb85d6b732ed89d397a399a6e48394643c615e/58cb99b06261921c135b2cdc21b7da242943819b/ 10.5281/zenodo.7022749 1024 "Matti Javanainen"
14 0.1111111111111111 Slipids 298.15 ../DATA/ForPlotting/a92/c4f/a92c4f19b6fbeb659e51814d66c94e0b0d09b3af/b0e5132128bf4152704a2575833b1a05650527d6/ 10.5281/zenodo.7022749 1024 "Matti Javanainen"
15 0.4666666666666667 Slipids 298.15 ../DATA/ForPlotting/16c/24c/16c24c4c4afed59906a86d25720a8ca356278d2b/9def6374b2138ea6bf9165f9366ceea12cc98569/ 10.5281/zenodo.7022749 64 "Matti Javanainen"
16 0.0 Slipids 298.15 ../DATA/ForPlotting/8e7/445/8e74451d42d164085406e42824c21afda1a3f433/1005584fb9c9b92a58c3818603e351aceabb53d4/ 10.5281/zenodo.7022749 256 "Matti Javanainen"
17 0.28888888888888886 Slipids 298.15 ../DATA/ForPlotting/fb9/921/fb992117655d3e932d60fea4a33002809c343f68/e360213ebfab74525db2ea2b13137c8f41cb5a30/ 10.5281/zenodo.7022749 1024 "Matti Javanainen"
18 0.4666666666666667 Slipids 298.15 ../DATA/ForPlotting/43e/a38/43ea38445266fcf9cca6cacb2331a09efcd123e0/0c14671bb338f2f09e32ccd0d375e0583d6db73f/ 10.5281/zenodo.7022749 256 "Matti Javanainen"
19 0.0 Slipids 298.0 ../DATA/ForPlotting/5a4/277/5a427728e5bcc18a6f162a8d325df4a9e4115250/f0fe9b9284aa683f9a419d9173d320cfa31d34cb/ 10.5281/zenodo.166034 512 Unknown
