q[1/A]     |F(q)|^2[e/A^2]
      0.1546190       11.5720139
      0.1556350       11.4992142
      0.1566510       11.4206314
      0.1576680       11.3362722
      0.1586840       11.2464161
      0.1597000       11.1510944
      0.1607160       11.0504208
      0.1617325       10.9444799
      0.1627490       10.8334389
      0.1637650       10.7175055
      0.1647810       10.5967627
      0.1657970       10.4713650
      0.1668140       10.3413334
      0.1678300       10.2070789
      0.1688460       10.0686512
      0.1698620        9.9262037
      0.1708785        9.7798491
      0.1718950        9.6298265
      0.1729110        9.4763947
      0.1739270        9.3196602
      0.1749430        9.1598120
      0.1759600        8.9968729
      0.1769760        8.8313637
      0.1779920        8.6633072
      0.1790080        8.4929037
      0.1800245        8.3202658
      0.1810410        8.1456699
      0.1820570        7.9694066
      0.1830730        7.7915821
      0.1840890        7.6123986
      0.1851060        7.4318795
      0.1861220        7.2505751
      0.1871380        7.0685029
      0.1881540        6.8858681
      0.1891710        6.7026777
      0.1901870        6.5194888
      0.1912030        6.3363152
      0.1922190        6.1533403
      0.1932355        5.9706655
      0.1942520        5.7885671
      0.1952680        5.6073089
      0.1962840        5.4269910
      0.1973000        5.2477813
      0.1983170        5.0696759
      0.1993330        4.8931947
      0.2003490        4.7183213
      0.2013650        4.5452185
      0.2023815        4.3739567
      0.2033980        4.2047691
      0.2044140        4.0378833
      0.2054300        3.8733509
      0.2064460        3.7113097
      0.2074630        3.5517366
      0.2084790        3.3950636
      0.2094950        3.2412505
      0.2105110        3.0904064
      0.2115275        2.9425685
      0.2125440        2.7979126
      0.2135600        2.6565962
      0.2145760        2.5186403
      0.2155925        2.3840573
      0.2166090        2.2529914
      0.2176250        2.1255722
      0.2186410        2.0017979
      0.2196570        1.8817239
      0.2206740        1.7652851
      0.2216900        1.6527550
      0.2227060        1.5440512
      0.2237220        1.4392077
      0.2247385        1.3381968
      0.2257550        1.2410886
      0.2267710        1.1479410
      0.2277870        1.0587066
      0.2288030        0.9733895
      0.2298200        0.8919010
      0.2308360        0.8143888
