# Gromacs512 0-100ns , 100-200ns,        Gromacs 4.5, 20%chol, 50%chol
3 -0.237707 -0.204748    -0.24086 -0.207688        -0.238949   -0.288546   -0.288485
4 -0.177066 -0.165224    -0.183948 -0.170981       -0.190991   -0.262965   -0.310205
5 -0.204303 -0.201422    -0.210724 -0.208378       -0.220383   -0.293749   -0.355854
6 -0.204869 -0.202397    -0.210625 -0.207993       -0.219929   -0.30306   -0.381787
7 -0.217192 -0.214744    -0.222064 -0.220327       -0.232533   -0.318591   -0.397229
8 -0.209689 -0.20483     -0.213358 -0.211826       -0.224029   -0.316065   -0.400139
9 -0.206683 -0.205243    -0.210758 -0.211656       -0.224072   -0.317135   -0.399198
10 -0.191622 -0.190021    -0.196373 -0.196511      -0.211675   -0.305584   -0.385687
11 -0.183209 -0.184178    -0.189802 -0.188709      -0.205763   -0.298136   -0.370712
12 -0.165223 -0.16437     -0.171201 -0.169447      -0.185374   -0.278134   -0.345843
13 -0.153318 -0.152593    -0.15936 -0.158048       -0.174472   -0.262099   -0.320707
14 -0.132994 -0.133329    -0.138364 -0.137969      -0.153363   -0.231298   -0.286076
15 -0.115799 -0.116881    -0.120823 -0.119982      -0.137368   -0.20135   -0.245121
16 -0.0875344 -0.0886824  -0.0910357 -0.0911966    -0.105016   -0.151927   -0.184939
